zipcode,r_a,e_a,p_t_a,p_u_a,high_demand,n_t_a,n_u_a,is_desert,is_under5_desert
12464,0.4117108874656907,68611.11111111111,29.4,7,False,27.0,16.0,False,False
12465,0.2604166666666667,55000.0,22.0,14,True,0.0,0.0,True,True
12466,0.748792270531401,68709.67741935483,195.2,119,True,95.0,0.0,True,True
12468,0.430188679245283,59649.12280701754,230.0,95,True,0.0,0.0,True,True
12469,0.423412204234122,66544.11764705883,213.39999999999998,75,False,0.0,0.0,True,True
12470,0.3084832904884318,59375.0,92.4,10,True,0.0,0.0,True,True
12472,0.7221750212404418,67058.82352941176,714.0,334,True,0.0,0.0,True,True
12473,0.7692307692307693,70833.33333333334,65.0,40,True,0.0,0.0,True,True
12474,0.6074766355140186,67067.30769230769,378.79999999999995,90,True,0.0,0.0,True,True
12477,0.4860699466508595,68445.12195121952,48.599999999999994,14,False,564.0,319.0,False,False
12480,0.7716049382716049,59000.0,137.2,27,True,0.0,0.0,True,True
12481,0.4554588077695914,72977.9411764706,36.0,20,False,0.0,0.0,True,True
12482,0.6181818181818182,48897.05882352941,52.0,43,True,0.0,0.0,True,True
12484,0.4358138155944263,83843.53741496598,5869.2,2236,False,33.0,33.0,True,True
12485,0.5752212389380531,64663.46153846154,2428.0,635,False,29.0,29.0,True,True
12486,0.4488636363636363,77373.41772151898,399.6,246,False,0.0,0.0,True,True
12487,0.3837357052096569,68791.39072847682,1026.4,347,False,0.0,0.0,True,True
12491,0.5002428363283147,75000.0,209.4,86,False,0.0,0.0,True,True
12492,0.7182320441988951,72115.38461538462,691.6,240,True,0.0,0.0,True,True
12494,0.3815028901734104,82196.9696969697,51.0,21,False,0.0,0.0,True,True
12495,0.99,94166.66666666669,1458.6,465,True,0.0,0.0,True,True
12496,0.5339435545385202,73392.85714285714,2709.6,964,False,0.0,0.0,True,True
12498,0.5414847161572053,86895.16129032258,85.6,41,False,44.0,44.0,False,False
12501,0.4838709677419355,69285.71428571429,70.19999999999999,0,False,143.0,26.0,False,False
12502,0.4620749782040104,81367.9245283019,184.6,74,False,0.0,0.0,True,True
12503,0.3939008894536213,79032.25806451612,26.8,2,False,0.0,0.0,True,True
12508,0.4751461988304093,75068.68131868132,0.0,0,False,723.0,345.0,False,False
12513,0.99,77412.28070175438,836.6,162,True,0.0,0.0,True,True
12514,0.4697986577181208,94553.57142857142,178.4,75,False,0.0,0.0,True,True
12515,0.5105296745373324,64375.0,839.5999999999999,236,False,0.0,0.0,True,True
12516,0.4195804195804196,70032.05128205128,1377.6,798,False,0.0,0.0,True,True
12517,0.5208333333333334,69375.0,2637.4,1017,False,0.0,0.0,True,True
12518,0.5101518512199283,88043.47826086955,1649.4,830,False,116.0,36.0,True,True
12520,0.5505181347150259,92352.9411764706,3604.8,1306,False,166.0,116.0,True,True
12521,0.4604853764779091,80743.24324324325,2216.2,446,False,18.0,18.0,True,True
12522,0.4963350785340314,65189.87341772152,302.4,196,False,48.0,0.0,True,True
12523,0.458207452165156,67719.78021978022,2096.6,930,False,0.0,0.0,True,True
12524,0.5291818822474214,83171.91283292978,1935.6,837,False,445.0,128.0,True,True
12525,0.99,78600.54347826088,823.0,282,True,0.0,0.0,True,True
12526,0.545609548167093,73372.39583333334,1738.8,798,False,8.0,0.0,True,True
12528,0.5360083844886959,75715.78212290502,0.0,0,False,374.0,225.0,False,False
12529,0.5574912891986062,79882.8125,0.0,0,False,0.0,0.0,True,False
12531,0.6254826254826255,87191.35802469136,4312.2,1486,True,158.0,124.0,True,True
12533,0.5150672406567869,92242.97337278108,4398.0,1262,False,830.0,637.0,True,True
12534,0.4502023381294964,63046.1922596754,3355.4,1310,False,438.0,56.0,True,True
12538,0.4834352338973411,71488.97058823529,404.6,245,False,461.0,274.0,False,False
12540,0.4227170054856405,92557.25190839695,4148.4,1809,False,187.0,104.0,True,True
12542,0.5591985428051002,77728.01302931597,1526.8,553,False,167.0,109.0,True,True
12543,0.5039872408293461,62500.0,1771.8,796,False,0.0,0.0,True,True
12545,0.493253704932537,86659.19282511211,5834.6,2383,False,100.0,44.0,True,True
12546,0.5370370370370371,68362.06896551725,5411.4,2148,False,29.0,29.0,True,True
12547,0.500457735733903,71951.21951219512,527.2,198,False,142.0,90.0,True,True
12548,0.6890130353817505,73648.64864864865,22.4,17,True,0.0,0.0,True,True
12549,0.5021156558533145,81741.57303370786,6.3999999999999995,1,False,558.0,366.0,False,False
12550,0.4893148509132914,61766.87569162671,13.6,4,False,1289.0,741.0,False,False
12553,0.5056733189828159,72709.23520923521,110.8,56,False,945.0,697.0,False,False
12561,0.4041685046316718,79791.95088676672,0.0,0,False,378.0,222.0,False,False
12563,0.4914835522038747,75992.06349206349,45.8,25,False,232.0,81.0,False,False
12564,0.4688311688311688,86391.96675900277,30.2,0,False,142.0,123.0,False,False
12565,0.4618345093008338,54513.88888888888,373.6,75,True,18.0,18.0,True,True
12566,0.4489401144515193,72868.04308797127,1000.6,561,False,148.0,63.0,True,True
12567,0.5624201107797188,74337.12121212122,0.0,0,False,0.0,0.0,True,False
12569,0.5414974487139436,79254.80769230769,20.4,0,False,196.0,50.0,False,False
12570,0.5344503827820309,90675.67567567568,35.0,29,False,72.0,0.0,False,True
12571,0.5208446128857607,81003.11850311852,151.4,83,False,192.0,58.0,False,False
12572,0.5028534510606224,91622.0556745182,99.0,99,False,217.0,102.0,False,False
12575,0.8017676767676768,87204.72440944883,13.0,0,True,24.0,0.0,False,False
12577,0.7280927835051546,88053.09734513274,6.6,0,True,16.0,0.0,False,False
12578,0.5458823529411765,87068.96551724138,119.4,9,False,32.0,0.0,True,True
12580,0.4126426690079016,82114.36170212766,13.2,0,False,24.0,0.0,False,False
12581,0.5095541401273885,81610.57692307692,294.8,196,False,48.0,40.0,True,True
12582,0.3858625162127108,92489.49579831932,793.0,153,False,64.0,0.0,True,True
12583,0.6004366812227074,72045.45454545453,0.0,0,True,16.0,0.0,False,False
12585,0.5344418052256532,90000.0,187.0,39,False,16.0,0.0,True,True
12586,0.5163255741290423,70612.70801815431,262.4,107,False,197.0,93.0,False,False
12589,0.3676470588235294,73003.47222222222,39.0,0,False,288.0,20.0,False,False
12590,0.5239569752281616,77961.3789528253,139.6,59,False,867.0,495.0,False,False
12592,0.3988803358992302,62500.0,191.8,85,False,0.0,0.0,True,True
12594,0.4979353898469759,69268.29268292684,37.4,7,False,251.0,214.0,False,False
12601,0.4337161589069986,56388.742071881614,5.3999999999999995,0,True,1306.0,764.0,False,False
12603,0.5268269572426862,79648.15647482015,5.3999999999999995,0,False,1281.0,605.0,False,False
12701,0.4121143958868895,49512.67056530213,12.2,8,True,690.0,287.0,False,False
12719,0.4151943462897526,77127.65957446808,133.4,38,False,15.0,15.0,True,True
12721,0.4115853658536585,66358.02469135802,0.0,0,False,16.0,0.0,False,False
12723,0.4279279279279279,70394.73684210527,38.0,30,False,8.0,0.0,True,True
12725,0.4334365325077399,71428.57142857142,412.0,181,False,24.0,0.0,True,True
12726,0.3905674281503316,70283.01886792453,9.8,0,False,8.0,0.0,False,False
12729,0.5788712011577424,59218.75,592.0,270,True,40.0,0.0,True,True
12732,0.4578313253012048,71381.57894736841,0.0,0,False,8.0,0.0,False,False
12733,0.1402805611222445,44196.42857142857,285.6,100,True,0.0,0.0,True,True
12734,0.5019685039370079,50000.0,36.0,10,True,0.0,0.0,True,True
12737,0.5415384615384615,73437.5,100.8,64,False,56.0,0.0,False,True
12738,0.3342618384401114,54166.66666666666,0.0,0,True,8.0,0.0,False,False
12740,0.5545722713864307,71542.55319148935,0.0,0,False,68.0,0.0,False,False
12741,0.7738095238095238,61538.46153846154,92.6,36,True,0.0,0.0,True,True
12742,0.7731958762886598,60000.0,237.2,46,True,98.0,98.0,True,False
12743,0.5161290322580645,75781.25,113.2,17,False,0.0,0.0,True,True
12746,0.9166666666666666,59772.72727272727,160.2,99,True,0.0,0.0,True,True
12747,0.3603158933859822,59417.80821917808,160.39999999999998,61,True,8.0,0.0,True,True
12748,0.508280982295831,69241.57303370787,0.0,0,False,8.0,0.0,False,False
12751,0.3822762814943527,44886.36363636363,53.6,43,True,0.0,0.0,True,True
12752,0.5298013245033113,67187.5,113.8,72,False,0.0,0.0,True,True
12754,0.391025641025641,50901.63934426229,100.0,22,True,549.0,89.0,False,False
12758,0.464091262639357,66759.77653631286,41.0,14,False,149.0,149.0,False,False
12759,0.331002331002331,42957.74647887324,18.0,10,True,0.0,0.0,True,True
12760,0.5411764705882353,64130.434782608696,310.0,116,False,0.0,0.0,True,True
12762,0.7428571428571429,62980.769230769234,125.6,60,True,24.0,24.0,True,True
12763,0.8723404255319149,58536.58536585367,46.8,24,True,0.0,0.0,True,True
12764,0.4670169293636894,77500.0,111.0,62,False,8.0,0.0,True,True
12765,0.4601571268237935,76524.39024390244,0.0,0,False,0.0,0.0,True,False
12766,0.2735562310030395,62499.99999999999,80.19999999999999,24,False,0.0,0.0,True,True
12768,0.5427251732101617,63829.78723404255,71.0,0,False,0.0,0.0,True,False
12771,0.448318804483188,60223.76543209877,58.8,19,False,324.0,134.0,False,False
12775,0.5618431689571544,80125.89928057554,57.0,24,False,41.0,32.0,False,False
12776,0.4295366795366795,68960.67415730338,2200.4,695,False,0.0,0.0,True,True
12777,0.425531914893617,86111.11111111111,38.2,5,False,0.0,0.0,True,True
12778,0.9701492537313432,71153.84615384616,48.2,0,True,0.0,0.0,True,False
12779,0.4557291666666667,49523.80952380953,6.0,0,True,0.0,0.0,True,False
12780,0.5202821869488536,66313.55932203389,8.4,0,False,0.0,0.0,True,False
12783,0.4471256210078069,61904.76190476189,496.2,127,False,0.0,0.0,True,True
12786,0.5809859154929577,78030.30303030304,243.39999999999998,46,False,0.0,0.0,True,True
12787,0.99,60119.04761904761,255.4,45,True,0.0,0.0,True,True
12788,0.3731080605420626,60259.43396226414,412.0,102,False,208.0,200.0,False,False
12789,0.3553082191780822,57078.31325301205,0.0,0,True,16.0,0.0,False,False
12790,0.5655466161855183,63912.133891213394,0.0,0,False,114.0,22.0,False,False
12791,0.4492753623188406,69354.83870967742,296.4,128,False,32.0,0.0,True,True
12792,0.99,74404.7619047619,7.0,7,True,0.0,0.0,True,True
12801,0.5103700691337942,55660.690571049134,2.4,0,True,297.0,251.0,False,False
12803,0.5233348436792026,60254.329004329,77.8,32,False,322.0,0.0,False,True
12804,0.5092609242941917,72351.69491525424,0.0,0,False,766.0,466.0,False,False
12808,0.7960199004975125,84375.0,130.6,34,True,0.0,0.0,True,True
12809,0.4485049833887043,64891.975308641966,351.2,66,False,32.0,0.0,True,True
12810,0.5586592178770949,52083.33333333333,266.0,48,True,0.0,0.0,True,True
12814,0.7312775330396476,75000.0,209.8,108,True,20.0,0.0,True,True
12815,0.4367606915377616,70052.08333333334,85.8,16,False,0.0,0.0,True,True
12816,0.4604409857328145,64906.103286384976,0.0,0,False,84.0,40.0,False,False
12817,0.5996924654023578,69871.79487179487,28.4,0,False,47.0,47.0,False,False
12819,0.4195804195804196,43750.0,2191.0,690,True,0.0,0.0,True,True
12821,0.0588730025231286,48214.28571428571,12.0,12,True,8.0,0.0,False,True
12822,0.4741935483870967,58248.299319727885,0.0,0,True,60.0,0.0,False,False
12823,0.298804780876494,69166.66666666667,271.4,115,False,0.0,0.0,True,True
12824,0.3952205882352941,81395.3488372093,168.2,55,False,0.0,0.0,True,True
12827,0.5172883201742445,63092.10526315789,107.2,36,False,0.0,0.0,True,True
12828,0.4984358706986444,59544.97907949791,54.8,20,True,288.0,202.0,False,False
12831,0.4929577464788732,80080.28792912513,841.0,361,False,192.0,0.0,True,True
12832,0.4239901325932778,59000.000000000015,316.4,60,True,72.0,0.0,True,True
12833,0.4337855914389451,77312.77533039649,111.39999999999999,11,False,16.0,0.0,True,True
12834,0.5174892189746046,68557.0987654321,455.4,142,False,84.0,0.0,True,True
12835,0.5068762278978389,65794.57364341085,302.2,81,False,0.0,0.0,True,True
12836,0.6073752711496746,70982.14285714286,1886.8,615,True,0.0,0.0,True,True
12837,0.4436860068259385,55769.230769230766,181.39999999999998,29,True,0.0,0.0,True,True
12838,0.4299583911234396,56048.3870967742,233.0,83,True,0.0,0.0,True,True
12839,0.4577157802964254,53095.2380952381,0.0,0,True,327.0,102.0,False,False
12842,0.8652482269503546,61065.5737704918,1779.0,702,True,16.0,0.0,True,True
12843,0.3834808259587021,55769.230769230766,217.0,102,True,0.0,0.0,True,True
12844,0.5119453924914675,90833.33333333334,0.0,0,False,0.0,0.0,True,False
12845,0.5707413076754866,73563.2183908046,380.0,203,False,33.0,0.0,True,True
12846,0.5226364846870839,62101.91082802547,4582.6,1771,False,60.0,20.0,True,True
12847,0.4657933042212518,67578.125,1845.6,676,False,0.0,0.0,True,True
12849,0.6588235294117647,59821.42857142857,1382.6,502,True,37.0,21.0,True,True
12850,0.5240014657383657,77272.72727272728,1726.6,568,False,0.0,0.0,True,True
12851,0.5015673981191222,50000.0,768.6,271,True,0.0,0.0,True,True
12852,0.6027397260273972,66477.27272727272,435.8,199,True,0.0,0.0,True,True
12853,0.485859318346628,59514.92537313433,0.0,0,True,0.0,0.0,True,False
12855,0.5314009661835749,48863.63636363636,352.0,117,True,0.0,0.0,True,True
12857,0.3252032520325203,55208.33333333333,340.2,122,True,0.0,0.0,True,True
12859,0.5498652291105122,68627.45098039215,561.4,167,False,0.0,0.0,True,True
12860,0.989010989010989,54513.88888888889,120.19999999999999,9,True,0.0,0.0,True,True
12861,0.5035971223021583,69196.42857142858,1929.0,420,False,0.0,0.0,True,True
12863,0.4190260475651189,79054.05405405405,8269.2,2830,False,0.0,0.0,True,True
12865,0.4756380510440835,59527.439024390245,3772.0,1145,True,24.0,0.0,True,True
12866,0.5219900548785201,88018.2625863771,1602.0,563,False,775.0,327.0,False,True
12870,0.4911242603550296,65512.048192771086,721.4,177,False,30.0,0.0,True,True
12871,0.4836788182034787,71120.68965517242,1190.6,342,False,24.0,0.0,True,True
12873,0.4228571428571429,69932.43243243244,221.2,164,False,0.0,0.0,True,True
12878,0.4563233376792698,54285.71428571428,1753.8,630,True,0.0,0.0,True,True
12883,0.4711277882009589,58185.8407079646,214.2,101,True,111.0,79.0,False,False
12885,0.4828836998413058,51936.61971830986,1398.8,546,True,122.0,76.0,True,True
12886,0.4761904761904761,60227.27272727273,1123.4,509,False,0.0,0.0,True,True
12887,0.4597457627118644,54550.69124423964,1158.2,272,True,71.0,39.0,True,True
12901,0.4375443248743486,59593.023255813954,874.0,142,True,550.0,209.0,False,False
12903,0.5630498533724341,71354.16666666666,16.0,16,False,85.0,85.0,False,False
12910,0.3976670201484623,57666.66666666667,144.4,81,True,0.0,0.0,True,True
12912,0.5583195135433942,55693.0693069307,127.6,54,True,44.0,20.0,True,True
12913,0.4642525533890436,63000.0,169.8,30,False,60.0,32.0,False,False
12914,0.3995433789954338,53928.57142857142,531.8,199,True,16.0,0.0,True,True
12916,0.3957894736842105,53723.404255319154,278.4,157,True,64.0,20.0,True,True
12917,0.5194805194805194,58398.4375,573.8,161,True,0.0,0.0,True,True
12918,0.4641350210970464,65495.867768595046,203.39999999999998,39,False,32.0,0.0,True,True
12919,0.5743740795287187,58573.71794871794,53.2,22,True,32.0,0.0,False,True
12920,0.4446274186908193,62847.22222222223,2215.8,879,False,44.0,0.0,True,True
12921,0.4355400696864111,66000.0,2672.2,1034,False,97.0,15.0,True,True
12923,0.4940711462450592,55000.0,3855.2,1286,True,16.0,0.0,True,True
12926,0.4,51612.90322580645,246.8,74,True,32.0,0.0,True,True
12928,0.4975922953451043,58198.9247311828,256.79999999999995,58,True,0.0,0.0,True,True
12930,0.3558718861209964,57500.0,6048.2,2394,True,0.0,0.0,True,True
12932,0.5963302752293578,61538.46153846153,5514.4,2177,False,64.0,64.0,True,True
12934,0.3425229741019214,56097.56097560976,0.0,0,True,8.0,0.0,False,False
12935,0.4978662873399715,59285.71428571429,1704.8,695,True,34.0,18.0,True,True
12936,0.4769001490312965,67578.125,68.0,47,False,16.0,0.0,True,True
12937,0.3961748633879781,52370.68965517242,37.4,0,True,16.0,0.0,True,False
